site,longitude,latitude,elevation
dest098,11.043386,51.662435,419
dest104,11.891412,51.837306,72
dest105,11.850274,52.602056,35
dest106,11.091078,51.456071,143
deth005,11.368875,50.651182,210
deth009,12.0749,50.877923,190
deth011,12.437621,50.987758,185
deth013,10.317236,50.978292,210
deth018,10.791404,51.497195,185
deth020,11.037924,50.979455,195
deth026,10.375299,50.561754,450
deth027,11.134593,50.499955,840
deth036,12.205199,50.655861,265
deth041,11.597062,50.933513,140
deth042,10.867188,51.333333,420
deth061,11.661233,50.791616,357
deth093,11.321017,50.982185,224
deth095,10.450997,51.207944,215
deub001,8.308208,54.924967,12
deub004,7.908035,47.913256,1205
deub005,10.756733,52.800773,74
deub028,12.721938,54.436985,1
deub029,10.769534,50.654066,937
deub030,13.031662,53.141303,65
